item_category_id,item_id
48,6905
48,6906
48,6907
48,17673
49,806
49,22167
49,464
49,15031
49,16249
49,472
49,786
49,15038
49,13363
49,13370
50,16834
50,16835
51,17703
52,8435
52,10696
52,22110
53,19700
53,19701
53,20273
54,805
54,13342
54,22166
54,4878
54,21486
54,16252
54,803
54,798
54,19288
54,9458
55,13881
55,972
55,11711
55,2574
55,8686
55,5323
55,4717
55,1249
55,3108
55,5319
56,1233
56,5490
56,5489
56,5500
56,5542
56,2586
56,5470
56,2523
56,4307
56,3920
57,18186
57,18206
57,18486
57,18295
57,14215
57,15015
57,14217
57,4884
57,1102
57,18333
58,5341
58,5488
58,5469
58,6798
58,5486
58,5497
58,5506
58,5063
58,4608
58,6812
59,5948
59,13879
59,4290
59,13899
59,3900
59,1144
59,4325
59,3966
59,6009
59,6269
60,12467
60,3114
60,1142
60,10149
60,7419
60,10146
60,7276
60,7420
60,12553
60,8170
61,13560
61,16843
61,15047
61,15048
61,21772
61,21976
61,13122
61,16844
61,18101
61,17715
62,21488
62,21487
62,15100
62,15136
62,15085
62,12286
62,5872
62,15104
62,15102
62,19924
63,15284
63,15287
63,15256
63,15346
63,15268
63,15446
63,15343
63,15298
63,15226
63,15470
64,16056
64,16167
64,16182
64,16206
64,16055
64,16011
64,16057
64,16113
64,16176
64,16160
65,16227
65,16169
65,16184
65,14847
65,14842
65,14828
65,5827
65,16071
65,14830
65,16209
66,16832
66,21512
66,21511
66,21517
66,21513
66,8022
66,13602
66,21510
66,9257
66,11832
67,10659
67,1007
67,16315
67,1015
67,10658
67,16316
67,4635
67,21967
67,10660
67,4633
68,5426
68,5417
68,5419
68,14857
68,17760
68,17442
68,5428
68,8679
68,15543
68,17462
69,14931
69,16286
69,17662
69,13619
69,17654
69,17659
69,13616
69,13618
69,17661
69,13621
70,9355
70,12168
70,16287
70,9396
70,1411
70,12184
70,9356
70,15519
70,15521
70,9405
71,20949
71,13598
71,13597
71,7149
71,21788
71,21789
72,20608
72,20609
72,20606
72,20610
72,20607
72,20613
72,20387
72,20404
72,20866
72,20384
73,482
73,485
73,486
73,839
73,791
73,687
73,484
73,491
73,835
73,792
74,5389
74,5387
74,5386
74,4953
74,1159
74,4207
74,4208
74,4931
75,4181
75,4178
75,4164
75,5380
75,4163
75,3007
75,7815
75,3148
75,4161
75,7812
76,492
76,5381
76,5296
76,2997
76,4169
76,5365
76,1162
76,3134
76,4192
76,4183
77,700
77,534
77,556
77,642
77,677
77,560
77,657
77,651
77,716
77,3527
78,688
78,658
78,19426
78,19425
78,868
78,718
78,916
78,917
78,563
78,8516
79,17717
80,9248
80,9250
80,9246
80,9254
80,9244
80,9252
81,13346
81,13355
81,13352
81,13349
81,13358
81,13347
81,13356
82,13354
82,13345
82,13351
82,13344
82,13350
82,13357
82,13348
82,13353
83,22088
83,22087
83,22092
83,22091
83,22085
83,22094
83,22096
83,22089
83,22097
83,22099
